State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean,NDVI_Mean,Weather_Temp
Gujarat,Surat,Songadh(Badarpada),Bhindi(Ladies Finger),Bhindi,FAQ,14/08/2025,2000.0,3000.0,2590.0,21.2094892,72.8317058,,,0.475,22.7375
Gujarat,Surat,Surat,Beetroot,Other,FAQ,14/08/2025,1600.0,2300.0,1950.0,21.2094892,72.8317058,,,0.563,22.7375
Gujarat,Surat,Surat,Bottle gourd,Other,FAQ,14/08/2025,2500.0,4000.0,3250.0,21.2094892,72.8317058,,,0.549,22.7375
Gujarat,Surat,Surat,Cabbage,Other,FAQ,14/08/2025,500.0,1400.0,950.0,21.2094892,72.8317058,,,0.36,22.7375
Gujarat,Surat,Surat,Capsicum,Other,FAQ,14/08/2025,1500.0,3800.0,2650.0,21.2094892,72.8317058,,,0.59,22.7375
Gujarat,Surat,Surat,Carrot,Other,FAQ,14/08/2025,1500.0,2500.0,2000.0,21.2094892,72.8317058,,,0.234,22.7375
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,14/08/2025,1500.0,3000.0,2250.0,21.2094892,72.8317058,,,0.411,
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000.0,4000.0,3000.0,21.2094892,72.8317058,,,0.491,22.7375
Gujarat,Surat,Surat,Elephant Yam (Suran),Other,FAQ,14/08/2025,4000.0,5000.0,4500.0,21.2094892,72.8317058,,,0.301,
Gujarat,Surat,Surat,Peas cod,Other,FAQ,14/08/2025,8500.0,10500.0,9500.0,21.2094892,72.8317058,,,0.48,22.7375
Gujarat,Surat,Surat,Sponge gourd,Other,FAQ,14/08/2025,1000.0,2000.0,1500.0,21.2094892,72.8317058,,,0.201,22.7375
Gujarat,Surat,Surat,Turmeric (raw),Other,FAQ,14/08/2025,5000.0,16000.0,10500.0,21.2094892,72.8317058,,,0.414,22.7375
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.3041662,73.2012585,,,0.527,21.204166666666666
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,14/08/2025,800.0,1500.0,1150.0,22.3041662,73.2012585,,,0.386,21.204166666666666
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,14/08/2025,2500.0,3500.0,3000.0,22.3041662,73.2012585,,,0.281,21.204166666666666
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,14/08/2025,3000.0,5000.0,4000.0,22.3041662,73.2012585,,,0.346,21.204166666666666
Gujarat,Vadodara(Baroda),Padra,Ridgeguard(Tori),Other,FAQ,14/08/2025,1500.0,2000.0,1750.0,22.3041662,73.2012585,,,0.325,21.204166666666666
Haryana,Ambala,Naraingarh,Banana - Green,Other,FAQ,14/08/2025,1500.0,2500.0,2300.0,30.3843674,76.770421,,,0.565,18.804166666666667
Haryana,Ambala,Naraingarh,Brinjal,Brinjal,FAQ,14/08/2025,500.0,1500.0,1000.0,30.3843674,76.770421,,,0.428,18.804166666666667
Haryana,Ambala,Naraingarh,Cauliflower,Cauliflower,FAQ,14/08/2025,2000.0,4000.0,3200.0,30.3843674,76.770421,,,0.611,18.804166666666667
Haryana,Ambala,Naraingarh,Colacasia,Other,FAQ,14/08/2025,1000.0,2500.0,2000.0,30.3843674,76.770421,,,0.373,18.804166666666667
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,14/08/2025,3500.0,5000.0,4500.0,30.3843674,76.770421,,,0.636,18.804166666666667
Haryana,Ambala,Naraingarh,Lemon,Other,FAQ,14/08/2025,2500.0,3500.0,3000.0,30.3843674,76.770421,,,0.541,18.804166666666667
Haryana,Ambala,Naraingarh,Potato,Potato,FAQ,14/08/2025,600.0,1000.0,750.0,30.3843674,76.770421,,,0.355,18.804166666666667
Haryana,Ambala,Naraingarh,Pumpkin,Pumpkin,FAQ,14/08/2025,300.0,1000.0,600.0,30.3843674,76.770421,,,0.565,18.804166666666667
Haryana,Fatehabad,Jakhal,Cucumbar(Kheera),Other,FAQ,14/08/2025,1400.0,1500.0,1500.0,29.5359209,75.5752901,,,0.547,18.212500000000002
Haryana,Gurgaon,Sohna,Brinjal,Brinjal,FAQ,14/08/2025,1400.0,2300.0,2000.0,28.4646148,77.0299194,,,0.583,17.6125
Haryana,Hissar,Hansi,Apple,Other,Medium,14/08/2025,5000.0,30000.0,15000.0,29.9256437,76.5276288,,,0.427,18.258333333333333
Haryana,Hissar,Hansi,Bhindi(Ladies Finger),Other,FAQ,14/08/2025,2000.0,2500.0,2300.0,29.9256437,76.5276288,,,0.677,18.258333333333333
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,29.9256437,76.5276288,,,0.416,18.258333333333333
Haryana,Hissar,Hansi,Guava,Other,Medium,14/08/2025,2000.0,3000.0,2500.0,29.9256437,76.5276288,,,0.492,18.258333333333333
Haryana,Hissar,Hansi,Mousambi(Sweet Lime),Other,Medium,14/08/2025,2000.0,4000.0,3000.0,29.9256437,76.5276288,,,0.508,18.258333333333333
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,14/08/2025,1000.0,1500.0,1200.0,29.9256437,76.5276288,,,0.458,18.258333333333333
