State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Bilaspur,Bilaspur,Papaya,Other,Small,14/08/2025,4000,4500,4200
"Himachal Pradesh",Bilaspur,Bilaspur,Pomegranate,Other,Small,14/08/2025,9000,18000,12000
"Himachal Pradesh",Chamba,Chamba,Capsicum,Other,FAQ,14/08/2025,5000,5500,5250
"Himachal Pradesh",Chamba,Chamba,Onion,Other,FAQ,14/08/2025,2300,2500,2400
"Himachal Pradesh",Kangra,Dharamshala,Banana,Other,Medium,14/08/2025,4500,5000,4750
"Himachal Pradesh",Kangra,Dharamshala,Pomegranate,Other,Large,14/08/2025,11500,12000,11750
"Himachal Pradesh",Kangra,Kangra,Carrot,Other,FAQ,14/08/2025,2300,2500,2400
"Himachal Pradesh",Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,14/08/2025,2500,2800,2700
"Himachal Pradesh",Kangra,Kangra,Pomegranate,Other,Medium,14/08/2025,10000,12000,11000
"Himachal Pradesh",Kangra,Kangra,"Sponge gourd",Other,FAQ,14/08/2025,3200,3500,3300
"Himachal Pradesh",Kangra,Kangra(Baijnath),Apple,Apple,Small,14/08/2025,2500,3500,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Raddish,Other,FAQ,14/08/2025,2500,2700,2600
"Himachal Pradesh",Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,14/08/2025,5500,6000,5600
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cucumbar(Kheera),Cucumbar,FAQ,14/08/2025,2400,2800,2500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Onion,Other,FAQ,14/08/2025,2000,2400,2200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pear(Marasebu),Other,Medium,14/08/2025,4000,5000,4500
