State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,14/08/2025,5000.0,6000.0,5500.0,21.7080427,72.9956936,,
Gujarat,Botad,Botad,Castor Seed,Other,FAQ,14/08/2025,5575.0,5575.0,5575.0,22.0467097,71.6689617,,
Gujarat,Botad,Botad,Corriander seed,Other,FAQ,14/08/2025,4000.0,5500.0,4750.0,22.0467097,71.6689617,,
Gujarat,Botad,Botad,Wheat,Other,Non-FAQ,14/08/2025,2500.0,2725.0,2600.0,22.0467097,71.6689617,,
Gujarat,Chhota Udaipur,Kalediya,Cotton,Shanker 6 (B) 30mm FIne,FAQ,14/08/2025,6750.0,6925.0,6850.0,22.2224345,73.7778749,,
Gujarat,Chhota Udaipur,Modasar        ,Cotton,Shanker 6 (B) 30mm FIne,FAQ,14/08/2025,6850.0,7025.0,6950.0,22.2224345,73.7778749,,
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,14/08/2025,300.0,3000.0,1650.0,22.9194099,74.1342725,,
Gujarat,Dahod,Dahod(Veg. Market),Garlic,Other,FAQ,14/08/2025,4000.0,10000.0,7000.0,22.9194099,74.1342725,,
Gujarat,Dahod,Dahod(Veg. Market),Onion Green,Onion Green,FAQ,14/08/2025,1000.0,3000.0,2000.0,22.9194099,74.1342725,,
Gujarat,Dahod,Dahod(Veg. Market),Pointed gourd (Parval),Other,FAQ,14/08/2025,3500.0,5000.0,4250.0,22.9194099,74.1342725,,
Gujarat,Dahod,Dahod(Veg. Market),Potato,Potato,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.9194099,74.1342725,,
Gujarat,Dahod,Dahod(Veg. Market),Tomato,Tomato,FAQ,14/08/2025,2000.0,4500.0,3500.0,22.9194099,74.1342725,,
Gujarat,Gandhinagar,Dehgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/08/2025,2420.0,2530.0,2475.0,23.2232877,72.6492267,,
Gujarat,Gandhinagar,Dehgam,Castor Seed,Other,FAQ,14/08/2025,6300.0,6350.0,6325.0,23.2232877,72.6492267,,
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,14/08/2025,2690.0,2720.0,2705.0,23.2232877,72.6492267,,
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,14/08/2025,4350.0,4575.0,4462.0,23.2232877,72.6492267,,
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Green Chilli,Other,FAQ,14/08/2025,2000.0,4000.0,2500.0,23.2232877,72.6492267,,
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),Other,FAQ,14/08/2025,2000.0,2000.0,2000.0,23.2232877,72.6492267,,
Gujarat,Kachchh,Anjar,Cummin Seed(Jeera),Other,FAQ,14/08/2025,11100.0,18100.0,18100.0,23.583333,70.0,,
Gujarat,Kachchh,Bachau,Castor Seed,Castor seed,FAQ,14/08/2025,6400.0,6435.0,6415.0,23.583333,70.0,,
Gujarat,Mehsana,Kadi,Mustard,Mustard,FAQ,14/08/2025,6000.0,6000.0,6000.0,23.6012628,72.3741516,,
Gujarat,Mehsana,Unava,Castor Seed,Other,FAQ,14/08/2025,6500.0,6520.0,6505.0,23.6012628,72.3741516,,
Gujarat,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,14/08/2025,1700.0,7000.0,4350.0,23.6012628,72.3741516,,
Gujarat,Morbi,Morbi,Cabbage,Cabbage,FAQ,14/08/2025,1300.0,1700.0,1500.0,22.8003959,70.886232,,
Gujarat,Morbi,Morbi,Tomato,Tomato,FAQ,14/08/2025,3500.0,4500.0,4000.0,22.8003959,70.886232,,
Gujarat,Navsari,Navsari,Capsicum,Capsicum,FAQ,14/08/2025,3000.0,3500.0,3250.0,20.952407,72.9323831,,
Gujarat,Patan,Patan,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/08/2025,1750.0,2785.0,2675.0,23.773753,71.6798581,,
Gujarat,Patan,Patan,Castor Seed,Other,FAQ,14/08/2025,6300.0,6555.0,6475.0,23.773753,71.6798581,,
Gujarat,Patan,Patan,Mustard,Other,FAQ,14/08/2025,6250.0,6550.0,6450.0,23.773753,71.6798581,,
Gujarat,Patan,Patan,Soanf,Other,FAQ,14/08/2025,5255.0,7200.0,7000.0,23.773753,71.6798581,,
